Process,Replicate,Gene_tree,Species_Tree,Duplication,NNI,Loss
reconcILS,2161,"((AC,(((((((((AA,AA),AA),((((Z,Z),Z),Z),G)),AB),((Y,(X,(((W,V),(U,U)),T))),(((S,R),(Q,P)),((((((O,O),O),O),O),O),(((J,M),I),((K,L),(N,H))))))),C),(F,(E,D))),A),B)),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",10,3,0
ete3,2161,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((D,E),F),(C,(((((((H,N),(L,K)),(((M,I),J),((I,M),J))),(O,(O,(O,(O,(O,O)))))),((P,Q),(R,S))),(((T,((U,U),(V,W))),X),Y)),(((Z,G),(AA,AB)),((AB,(AA,(AA,AA))),(G,(Z,(Z,(Z,Z))))))))))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,)),((((P,Q),(R,S)),(,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",7,0,29
reconcILS,8326,"(((((((((G,AA),Z),AB),((Y,((X,X),(((W,V),U),T))),(((S,R),(Q,P)),(O,(((K,L),(J,(M,I))),(N,H)))))),((F,F),(E,((((D,D),D),D),D)))),C),(((B,B),B),(A,A))),AC),AC);","(,(,(,((,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",10,6,0
ete3,8326,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(AC,(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),(A,A)),(B,(B,B))),((A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((C,((((((((K,L),(H,N)),((M,I),J)),(((N,H),(L,K)),((I,M),J))),O),((P,Q),(R,S))),(((T,(U,(V,W))),(X,X)),Y)),(((Z,G),(AA,AB)),(((G,Z),(AA,AB)),((Z,G),(AB,AA)))))),(((D,(D,(D,(D,D)))),E),(F,F))))),B))));","(,(,(,((,(,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",10,0,88
reconcILS,9501,"((AC,(((((((((Z,G),AB),AA),(O,((Q,(((((((R,R),R),R),S),R),R),(P,P))),((((M,I),I),M),(N,(N,(((((K,K),K),K),L),H))))))),(X,(Y,((((W,W),((V,V),V)),U),(T,T))))),C),(F,(E,D))),A),B)),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(,((,),U)))))))))));",15,11,2
ete3,9501,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((D,E),F),(C,((((((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))),(((X,((T,T),(U,((V,(V,V)),(W,W))))),Y),((((U,(W,V)),T),X),Y))),((Z,G),(AA,AB))),((((((U,(W,V)),T),X),Y),(((O,((J,((I,M),((M,I),(I,M)))),((((N,H),(L,(K,(K,(K,K))))),((K,L),(H,N))),((K,L),(H,N))))),(((Q,(P,P)),((S,R),((S,R),(S,(R,(R,(R,R))))))),((S,R),(P,Q)))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AB,AA)),((AA,AB),(G,Z))))))))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,),(L,))))),(Y,(X,(,((,),U)))))))))));",15,0,80
reconcILS,1012,"((((((((((((((AA,AA),AA),AA),AA),AA),AA),G),AB),Z),((Y,(X,(((W,V),(U,U)),T))),(((S,R),(Q,P)),(O,((((J,J),J),(M,I)),((K,L),(N,(((H,H),H),H)))))))),((F,(E,(D,D))),A)),C),(B,B)),AC);","(AC,(,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",9,5,0
ete3,1012,"(AC,((B,B),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),(((D,D),E),F)),A),(((C,((((((((H,(H,(H,H))),N),(L,K)),((I,M),(J,(J,J)))),O),((P,Q),(R,S))),(((T,((U,U),(V,W))),X),Y)),(((G,Z),(AA,AB)),(((Z,G),(AA,AB)),((Z,G),(AB,(AA,(AA,(AA,(AA,(AA,(AA,AA)))))))))))),((E,D),F)),A)))));","(AC,(,(A,((F,(,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((,(I,M)),((,N),(L,K))))),(Y,(X,(T,((V,W),)))))))))));",8,0,59
reconcILS,7742,"((AC,(((((Z,(G,AB)),AA),((Y,(X,(((W,V),U),(T,T)))),(((((S,S),S),R),(Q,P)),(O,((N,N),(((K,L),(M,(J,I))),H)))))),(((F,F),(E,D)),((A,A),C))),((B,B),B))),AC);","(,(,(,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,)),(O,((J,(I,M)),((H,),(L,K))))),(Y,(X,(,((V,W),U)))))))))));",8,10,0
ete3,7742,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((B,(B,B)),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),(A,A)),(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),(F,F))),A)),(((C,(((((((((K,L),(N,H)),((M,I),J)),(((N,H),(L,K)),(((M,I),J),((I,M),J)))),(((K,L),(H,(N,N))),((M,I),J))),O),((P,Q),(R,(S,(S,S))))),((((T,T),(U,(V,W))),X),Y)),(((Z,G),(AB,AA)),(((Z,G),(AA,AB)),((G,Z),(AA,AB)))))),((E,D),F)),A))),AC));","(,(,(,((,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,)),(O,((J,(I,M)),((H,),(L,K))))),(Y,(X,(,((V,W),U)))))))))));",11,0,100
reconcILS,1132,"(((((((((Z,G),AA),AB),(Y,((X,(((W,V),(U,U)),(T,T))),(O,(((S,R),(Q,(P,P))),(((((K,K),K),L),(N,N)),((((((M,M),M),M),M),M),(J,(I,H))))))))),C),(F,((E,E),D))),(AC,AC)),A),B);","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),)))))))))));",13,8,4
ete3,1132,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),(((A,(((D,(E,E)),F),(C,((((Y,(((T,T),((U,U),(V,W))),X)),(((O,((((((K,L),(N,H)),((M,I),J)),(((K,L),(N,H)),((M,I),J))),(((K,L),(N,H)),((I,(M,(M,(M,(M,(M,M)))))),J))),(((M,I),J),((H,(N,N)),(L,(K,(K,K))))))),(((P,P),Q),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P))))),(((Z,G),(AA,AB)),((AB,AA),(G,Z))))))),B),(AC,AC))));","(,(B,(A,((F,(D,)),(C,(((AB,AA),(G,Z)),((((,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(X,(,((V,W),)))))))))));",14,0,107
reconcILS,5944,"((B,((((((Z,Z),((G,G),G)),AA),AB),(((((X,X),X),(Y,Y)),(((W,V),(U,U)),T)),(((S,R),(Q,P)),(((O,O),O),((J,((M,M),I)),(((K,L),N),((((H,H),H),H),H))))))),(F,(E,D)))),AC);","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(,((J,(I,)),((,N),(L,K))))),(,(,(T,((V,W),)))))))))));",14,3,2
ete3,5944,"(AC,((A,((C,((((((((K,L),(N,(H,(H,(H,(H,H)))))),((H,N),(L,K))),((I,(M,M)),J)),(O,(O,O))),((P,Q),(R,S))),(((X,(T,((U,U),(V,W)))),Y),((((U,(W,V)),T),(X,(X,X))),(Y,Y)))),(((Z,G),(AA,AB)),((AB,AA),((G,(G,G)),(Z,Z)))))),((D,E),F))),B));","(AC,(B,(A,((F,(D,E)),(C,(((AB,AA),(,)),((((P,Q),(R,S)),(,((J,(I,)),((,N),(L,K))))),(,(,(T,((V,W),)))))))))));",11,0,13
reconcILS,8130,"((AC,((((((((G,AB),AA),Z),((Y,((X,X),(((W,V),((U,U),U)),T))),(((S,R),(Q,P)),(((O,O),O),(((K,K),L),(N,(((M,M),((J,J),(I,I))),(N,(H,H))))))))),(F,(E,D))),C),A),B)),AC);","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((,(,)),((,),(L,))))),(Y,(,(T,((V,W),)))))))))));",11,8,0
ete3,8130,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((B,(A,(((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),((C,(((((((((K,L),((H,H),N)),(((M,(I,I)),(J,J)),((I,(M,M)),J))),(((K,L),(H,N)),((M,I),J))),(((N,H),(L,(K,K))),((M,I),J))),(O,(O,O))),((P,Q),(R,S))),(((T,((U,(U,U)),(V,W))),(X,X)),Y)),(((G,Z),(AA,AB)),(((Z,G),(AB,AA)),((Z,G),(AA,AB)))))),((D,E),F))))),AC));","(,(B,(A,((F,(D,E)),(C,(((AB,AA),(G,Z)),((((P,Q),(R,S)),(,((,(,)),((,),(L,))))),(Y,(,(T,((V,W),)))))))))));",13,0,75
reconcILS,960,"(((((((((AA,AA),((((X,X),Y),((((W,W),V),(U,U)),T)),(Q,(((S,R),P),((((M,M),M),(N,O)),(((((((J,J),J),J),J),J),I),(I,(((K,K),L),(H,H))))))))),AB),(Z,G)),C),B),(F,(E,D))),(AC,AC)),A);","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",15,12,6
ete3,960,"((((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((E,D),F)),A),B),AC),((AC,AC),(((((((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),C),((D,E),F)),A),B),(((((E,D),F),(C,(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((AA,AB),(G,Z))),(((((((U,(W,V)),T),X),Y),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(Q,P)))),((Z,G),(AA,AB))),(((Z,G),(AB,(AA,AA))),(((((O,((((M,I),J),((N,(H,H)),(L,(K,K)))),(((K,L),(N,H)),((M,I),(J,(J,(J,(J,(J,J))))))))),(((((K,L),(H,N)),((M,I),J)),O),((((K,L),(N,H)),((I,(M,(M,M))),J)),O))),((Q,P),(R,S))),(((((K,L),(N,H)),((M,I),J)),O),((S,R),(P,Q)))),(((X,(T,((U,U),(V,(W,W))))),Y),((((U,(W,V)),T),(X,X)),Y)))))))),A),B))));","(,(B,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((J,(I,M)),((H,N),(L,K))))),(Y,(,(T,((V,),)))))))))));",16,0,147
reconcILS,6550,"((((((((((((((AA,AA),AA),AA),AA),AA),AA),AA),AA),(Z,G)),AB),(((X,X),(Y,(((W,V),U),T))),((S,R),((Q,P),(O,((((J,J),J),(M,M)),(((K,L),N),H))))))),((((B,B),B),((F,(E,D)),A)),C)),(AC,AC)),AC);","(,(,(A,((F,(D,E)),(C,(((AB,),(G,Z)),((((P,Q),(R,S)),(O,((,(I,)),((H,N),(L,K))))),(Y,(,(T,((V,W),U)))))))))));",8,10,1
