Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8	Copy_9	Copy_10	Copy_11
1	False	True	True	True	True	True	True	True	True	True	True
2	True	True	False	True	True	False	True	True	False	True	False
3	False	False	True	True	False	True	False	False	False	False	True
5	False	False	True	False	False	False	True	True	False	False	True
9	False	True	False	True	False	False	True	True	True	True	True
12	False	True	True	True	True	True	True	True	True	True	True
13	False	True	True	True	True	True	True	True	True	False	True
14	False	False	True	False	False	True	True	True	False	False	False
16	False	True	True	False	True	False	True	False	False	False	False
20	True	True	True	True	True	False	False	True	False	True	True